real_gdp,real_gdp_growth,date
201384,1.960903443352513,1992-06-01
203423,2.567942318358285,1992-09-01
207604,4.6037880352905125,1992-12-01
209044,4.547614165470537,1993-03-01
210221,4.388134111945341,1993-06-01
210444,3.4514287961538326,1993-09-01
214339,3.244157145334392,1993-12-01
217928,4.249823003769548,1994-03-01
220649,4.960493956360201,1994-06-01
222332,5.649008762426111,1994-09-01
224485,4.7336229057707735,1994-12-01
224421,2.979424397048569,1995-03-01
225242,2.081586592280038,1995-06-01
230359,3.6103664789594037,1995-09-01
230511,2.684366438737551,1995-12-01
234369,4.432740251580736,1996-03-01
236012,4.781523872102,1996-06-01
237901,3.2740201164269678,1996-09-01
240055,4.14036640333868,1996-12-01
241547,3.0626917382418295,1997-03-01
248685,5.369642221581961,1997-06-01
248995,4.663284307337934,1997-09-01
252526,5.1950594655391535,1997-12-01
254242,5.255705928866838,1998-03-01
256736,3.2374288758871606,1998-06-01
261685,5.096487881282763,1998-09-01
265727,5.227580526361653,1998-12-01
267784,5.326421283658878,1999-03-01
268673,4.649523245668696,1999-06-01
271809,3.868773525421787,1999-09-01
276422,4.02480741512905,1999-12-01
277467,3.61597406865235,2000-03-01
280015,4.221488575331356,2000-06-01
280554,3.217332759400904,2000-09-01
279485,1.1080883576560563,2000-12-01
282341,1.7566052899984586,2001-03-01
284683,1.6670535507026463,2001-06-01
288107,2.692173342743276,2001-09-01
291578,4.326886952788156,2001-12-01
293777,4.05042129906743,2002-03-01
298699,4.92337090728987,2002-06-01
299741,4.038083073302623,2002-09-01
301922,3.547592753911477,2002-12-01
302237,2.879735309435394,2003-03-01
303260,1.526955229177207,2003-06-01
308311,2.8591350532626514,2003-09-01
313573,3.858943700690909,2003-12-01
316068,4.576210060316899,2004-03-01
318164,4.914594737189204,2004-06-01
320598,3.985261635167081,2004-09-01
323081,3.0321488138328245,2004-12-01
325612,3.019603376488611,2005-03-01
327074,2.8004425390679044,2005-06-01
330565,3.108877784639952,2005-09-01
333367,3.183721729225808,2005-12-01
334050,2.591427834354998,2006-03-01
334611,2.304371487797874,2006-06-01
339624,2.7404595162827228,2006-09-01
343968,3.1799788221389624,2006-12-01
349090,4.502320011974259,2007-03-01
351139,4.939467022901223,2007-06-01
355058,4.544437377806054,2007-09-01
356835,3.74075495394921,2007-12-01
360872,3.3750608725543474,2008-03-01
361675,3.0005211611356275,2008-06-01
364491,2.656749038185313,2008-09-01
362728,1.651463561590094,2008-12-01
366478,1.5534593983462353,2009-03-01
368529,1.8950715421303554,2009-06-01
369648,1.4148497493765344,2009-09-01
372373,2.6590172250281263,2009-12-01
374248,2.1201818390189864,2010-03-01
376186,2.077719799527311,2010-06-01
378798,2.4753278794961586,2010-09-01
382666,2.7641638894334353,2010-12-01
381635,1.9738248434193473,2011-03-01
386113,2.6388541838345825,2011-06-01
391317,3.3049276923320603,2011-09-01
395798,3.43171329566776,2011-12-01
399501,4.681436451059251,2012-03-01
402513,4.247461235441441,2012-06-01
404838,3.455254946756714,2012-09-01
407099,2.8552443418107254,2012-12-01
408205,2.1787179506434384,2013-03-01
410064,1.8759642545706612,2013-06-01
413313,2.0934299645784193,2013-09-01
416701,2.3586400359617787,2013-12-01
419598,2.7909996202888365,2014-03-01
421889,2.883696203519448,2014-06-01
423885,2.5578677660755833,2014-09-01
425464,2.1029467171905125,2014-12-01
429110,2.2669316822291785,2015-03-01
429691,1.8493015935471258,2015-06-01
434290,2.454675206718804,2015-09-01
436732,2.6484026850685405,2015-12-01
440660,2.691617533965651,2016-03-01
443796,3.2825914436187764,2016-06-01
444502,2.3514241635773425,2016-09-01
448879,2.7813395858329537,2016-12-01
450429,2.2169019198474915,2017-03-01
453232,2.126202128906063,2017-06-01
457843,3.0013363269456583,2017-09-01
460088,2.497109466025371,2017-12-01
464275,3.0739583818981453,2018-03-01
467674,3.186447558866101,2018-06-01
469307,2.503915097533427,2018-09-01
470071,2.1698022986906818,2018-12-01
472398,1.749609606375535,2019-03-01
475243,1.618435063740975,2019-06-01
477863,1.8231136548144455,2019-09-01
480379,2.1928602274975395,2019-12-01
